predicted,actual,correct,plate_x,plate_z,release_speed
4-Seam Fastball,4-Seam Fastball,True,0.14,0.3,0.78
Knuckle Curve,Knuckle Curve,True,-0.39,0.19,-0.16
Slider,Slider,True,-0.18,-0.32,0.3
4-Seam Fastball,4-Seam Fastball,True,0.46,0.04,0.78
Knuckle Curve,Knuckle Curve,True,0.49,-0.57,-0.04
Knuckle Curve,Knuckle Curve,True,0.32,-0.38,-0.06
Knuckle Curve,Sweeper,False,0.68,-0.19,-0.02
Knuckle Curve,Knuckle Curve,True,-0.03,-0.35,0.11
Changeup,Changeup,True,0.1,0.01,-0.24
Slider,Slider,True,0.25,-0.21,0.32
4-Seam Fastball,4-Seam Fastball,True,0.14,0.36,0.72
Knuckle Curve,Knuckle Curve,True,-0.02,0.49,-0.22
Slider,Slider,True,0.4,0.05,0.33
4-Seam Fastball,4-Seam Fastball,True,-0.24,0.44,0.84
4-Seam Fastball,4-Seam Fastball,True,0.47,0.41,0.84
Slider,Slider,True,-0.18,0.3,0.22
Knuckle Curve,Knuckle Curve,True,0.26,-0.43,0.0
Changeup,Changeup,True,-0.2,-0.09,-0.46
4-Seam Fastball,4-Seam Fastball,True,-0.35,-0.09,0.84
Knuckle Curve,Knuckle Curve,True,0.04,-0.29,0.0
Slider,Slider,True,0.87,-0.56,0.43
4-Seam Fastball,4-Seam Fastball,True,-0.31,0.08,0.77
Slider,Slider,True,0.3,-0.2,0.4
Changeup,Changeup,True,-0.28,-0.04,-0.17
4-Seam Fastball,4-Seam Fastball,True,-0.28,0.27,0.85
Knuckle Curve,Knuckle Curve,True,0.28,-0.52,-0.1
4-Seam Fastball,4-Seam Fastball,True,-0.13,0.06,0.78
Slider,Slider,True,-0.6,0.05,0.33
Knuckle Curve,Knuckle Curve,True,-0.09,0.41,0.07
Slider,Slider,True,0.41,-0.3,0.32
Knuckle Curve,Knuckle Curve,True,0.67,-0.31,0.16
Knuckle Curve,Knuckle Curve,True,0.16,-0.26,-0.03
4-Seam Fastball,Sinker,False,-0.21,-0.45,0.86
Slider,Slider,True,-0.18,-0.16,0.25
Changeup,Changeup,True,0.57,0.25,-0.02
Knuckle Curve,Knuckle Curve,True,0.28,-0.05,0.08
Knuckle Curve,Knuckle Curve,True,-0.06,-0.6,0.03
4-Seam Fastball,4-Seam Fastball,True,0.27,0.14,0.85
Slider,Slider,True,-0.25,0.22,0.28
4-Seam Fastball,4-Seam Fastball,True,0.51,-0.02,0.74
Slider,Slider,True,0.7,-0.22,0.36
4-Seam Fastball,4-Seam Fastball,True,0.05,0.36,0.76
Knuckle Curve,Knuckle Curve,True,-0.11,-0.22,-0.06
Knuckle Curve,Sweeper,False,0.63,-0.09,0.12
Knuckle Curve,Knuckle Curve,True,0.48,-0.14,0.02
Knuckle Curve,Knuckle Curve,True,0.14,0.33,-0.03
Changeup,Changeup,True,-0.23,0.39,-0.39
Slider,Slider,True,-0.05,-0.24,0.33
Knuckle Curve,Knuckle Curve,True,-0.62,-0.07,-0.03
Knuckle Curve,Knuckle Curve,True,0.06,-0.13,-0.12
Changeup,Changeup,True,-0.01,0.48,0.12
Knuckle Curve,Knuckle Curve,True,0.05,-0.09,-0.04
4-Seam Fastball,4-Seam Fastball,True,0.89,0.09,0.89
Knuckle Curve,Knuckle Curve,True,0.64,-0.12,-0.24
Knuckle Curve,Knuckle Curve,True,0.47,-1.0,-0.08
Changeup,Changeup,True,-0.57,0.21,0.04
Changeup,Changeup,True,-0.33,-0.15,-0.57
Slider,Slider,True,0.71,-0.02,0.34
Knuckle Curve,Knuckle Curve,True,0.18,-0.17,-0.12
Changeup,Changeup,True,0.07,-0.09,-0.24
Knuckle Curve,Knuckle Curve,True,0.68,-0.6,0.05
4-Seam Fastball,4-Seam Fastball,True,0.73,-0.26,0.84
Knuckle Curve,Knuckle Curve,True,0.66,-0.45,-0.12
4-Seam Fastball,4-Seam Fastball,True,-0.3,0.18,0.82
4-Seam Fastball,4-Seam Fastball,True,-0.16,0.3,0.74
4-Seam Fastball,4-Seam Fastball,True,0.42,0.48,0.76
4-Seam Fastball,4-Seam Fastball,True,-0.24,0.32,0.93
Slider,Slider,True,0.5,-0.31,0.36
Changeup,Changeup,True,0.47,0.18,-0.27
4-Seam Fastball,4-Seam Fastball,True,-0.01,0.29,0.79
Slider,Cutter,False,0.15,0.26,0.46
Knuckle Curve,Knuckle Curve,True,0.22,-0.11,0.05
Slider,Slider,True,-0.04,-0.18,0.27
Knuckle Curve,Knuckle Curve,True,0.4,-0.15,-0.04
4-Seam Fastball,4-Seam Fastball,True,0.02,-0.15,0.83
Knuckle Curve,Sweeper,False,0.31,-0.3,-0.07
4-Seam Fastball,4-Seam Fastball,True,0.18,0.53,0.67
Knuckle Curve,Knuckle Curve,True,0.42,0.03,-0.01
Slider,Slider,True,0.22,-0.27,0.51
4-Seam Fastball,4-Seam Fastball,True,0.07,0.17,0.8
Knuckle Curve,Knuckle Curve,True,0.69,-0.23,0.06
Slider,Slider,True,0.86,0.01,0.29
Knuckle Curve,Knuckle Curve,True,0.24,-0.27,-0.14
Slider,Slider,True,0.37,-0.41,0.28
4-Seam Fastball,4-Seam Fastball,True,-0.46,0.05,0.76
4-Seam Fastball,4-Seam Fastball,True,-0.35,0.1,0.8
