predicted,actual,correct,plate_x,plate_z,release_speed
4-Seam Fastball,Sinker,False,0.34,-0.4,0.84
4-Seam Fastball,4-Seam Fastball,True,-0.68,0.3,0.61
Changeup,Sinker,False,0.11,-0.39,0.65
4-Seam Fastball,4-Seam Fastball,True,-0.34,0.59,0.66
Cutter,Cutter,True,0.23,-0.27,0.43
Changeup,Changeup,True,-0.55,-0.01,-0.01
4-Seam Fastball,4-Seam Fastball,True,-0.32,-0.44,0.59
Slider,Slider,True,0.14,-0.05,0.02
Changeup,Changeup,True,0.11,-0.33,-0.15
Cutter,Cutter,True,-0.11,0.5,0.34
Curveball,Curveball,True,-0.27,-0.28,-0.59
Changeup,Changeup,True,-0.46,-0.35,0.04
4-Seam Fastball,4-Seam Fastball,True,-0.25,0.66,0.64
Slider,Slider,True,-0.03,0.59,0.04
Cutter,Cutter,True,0.16,-0.31,0.55
Cutter,Cutter,True,0.44,-0.14,0.4
Cutter,Cutter,True,0.2,-0.02,0.22
Slider,Slider,True,0.35,-0.35,0.01
Slider,Slider,True,0.0,-0.23,-0.04
4-Seam Fastball,4-Seam Fastball,True,-0.34,0.39,0.73
Changeup,Changeup,True,-0.84,0.3,-0.1
Cutter,Cutter,True,0.12,0.47,0.28
Slider,Slider,True,-0.16,-0.19,-0.07
Curveball,Curveball,True,-0.43,-0.17,-0.47
Changeup,Changeup,True,-0.33,-0.36,-0.03
Cutter,Cutter,True,0.14,0.18,0.25
Slider,Slider,True,-0.05,-0.29,-0.04
4-Seam Fastball,4-Seam Fastball,True,-0.24,0.33,0.73
Curveball,Curveball,True,0.3,0.34,-0.66
Curveball,Curveball,True,0.18,-0.21,-0.57
Changeup,Changeup,True,-0.13,-0.22,0.01
Slider,Slider,True,0.29,-0.57,0.07
Changeup,Changeup,True,-0.33,-0.17,-0.13
Changeup,Changeup,True,-0.25,-0.24,-0.1
Slider,Slider,True,0.6,-0.62,-0.01
Changeup,Changeup,True,0.28,-0.53,0.02
Curveball,Curveball,True,-0.09,-0.14,-0.57
4-Seam Fastball,4-Seam Fastball,True,-0.29,0.28,0.75
Curveball,Curveball,True,0.01,-0.65,-0.54
4-Seam Fastball,4-Seam Fastball,True,-0.06,0.27,0.54
Slider,Slider,True,0.27,-0.2,0.09
4-Seam Fastball,Sinker,False,-0.31,0.52,0.71
Slider,Slider,True,0.26,-0.09,0.14
Changeup,Changeup,True,-0.51,0.23,-0.01
Slider,Slider,True,0.45,-0.25,0.04
Changeup,Changeup,True,0.16,-0.23,0.12
Changeup,Changeup,True,0.1,-0.23,-0.04
Slider,Slider,True,0.4,-0.19,0.07
Slider,Slider,True,0.11,-0.09,0.07
Changeup,Changeup,True,-0.13,-0.21,0.02
Curveball,Curveball,True,-0.62,0.13,-0.69
Cutter,Cutter,True,-0.1,0.19,0.32
Changeup,Changeup,True,-0.17,-0.45,0.15
4-Seam Fastball,4-Seam Fastball,True,-0.1,0.56,0.64
Slider,Slider,True,0.29,-0.24,0.07
4-Seam Fastball,Sinker,False,-0.63,0.04,0.62
Cutter,Cutter,True,0.2,-0.3,0.3
Cutter,Cutter,True,0.06,0.76,0.37
Curveball,Curveball,True,-0.43,-0.12,-0.55
